Branch,Job_Role,Required_Skills
Agriculture,Agricultural Consultant,"Farming Strategy, Soil Testing Interpretation, Subsidy Knowledge, Organic Standards, Agri-Business Planning"
Design,Graphic Designer,"Adobe Illustrator/Photoshop, Branding, Typography, Layout Design, Motion Graphics, Print Media"
Banking,Investment Banker,"Financial Modeling, Valuation, M&A, IPO Process, Pitch Books, Capital Markets, Excel Mastery"
UPSC,IAS Officer,"Public Administration, Policy Implementation, Crisis Management, District Governance, Leadership"
Civil Engineering,Structural Engineer,"STAAD.Pro/ETABS, RCC Design, Steel Structures, AutoCAD, Load Calculations, Building Codes"
Information Technology,Network Engineer,"TCP/IP, Routing & Switching (CCNA/CCNP), Firewall Configuration, VPN, Network Monitoring Tools, Wireshark"
Law,Legal Consultant,"Legal Research, Policy Analysis, Regulatory Compliance, Legal Opinion Writing, Dispute Resolution"
Civil Engineering,Structural Engineer,"STAAD.Pro/ETABS, RCC Design, Steel Structures, AutoCAD, Load Calculations, Building Codes"
Information Technology,Cloud Architect,"AWS/Azure/GCP, Terraform, Kubernetes, Docker, Cloud Security, Serverless Computing, Infrastructure as Code"
Education,Educational Consultant,"Career Counseling, Institutional Branding, Market Trends in Education, Student Assessment"
Environmental Science,Sustainability Manager,"ESG Reporting, CSR Strategy, Carbon Footprint Analysis, Resource Efficiency, Stakeholder Reporting"
Design,Fashion Designer,"Apparel Design, Sketching, Textile Knowledge, Pattern Making, Fashion Trends, Garment Construction"
Management,Business Analyst,"Requirement Gathering, Gap Analysis, SQL, Data Visualization, BPMN, Documentation, User Stories"
Management,Business Analyst,"Requirement Gathering, Gap Analysis, SQL, Data Visualization, BPMN, Documentation, User Stories"
UPSC,IFS Officer,"Diplomacy, Foreign Policy, International Relations, Negotiation, Cultural Intelligence"
Pharmacy,Medical Representative,"Product Knowledge, Sales & Marketing, Communication, Relationship Management, Market Research"
Management,HR Manager,"Talent Acquisition, Employee Engagement, Payroll Management, Labor Laws, Performance Appraisal, Conflict Resolution"
Commerce,Financial Analyst,"Financial Modeling, Equity Research, Excel, Investment Analysis, Python for Finance, Reporting"
Robotics,Control Systems Engineer,"MATLAB/Simulink, PID Control, System Modeling, Circuit Design, Feedback Mechanisms"
Commerce,Tax Consultant,"Tax Planning, Compliance, Regulatory Filings, International Tax, Legal Documentation"
Robotics,Robotics Engineer,"ROS, C++, Kinematics, Control Systems, Machine Learning, Mechanical Design, Sensor Fusion"
Commerce,Auditor,"Internal Audit, Risk Assessment, Compliance Testing, Verification, Financial Analysis, Reporting"
