Branch,Internship_Role,Mode,Key_Responsibilities,Duration_Months,Stipend_Range
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,3,Unpaid
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,3,10k - 20k
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,12,10k - 20k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,3,Unpaid
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,12,20k+
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,6,5k - 10k
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,3,5k - 10k
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,3,10k - 20k
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,6,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,3,20k+
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,3,10k - 20k
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,12,20k+
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,12,20k+
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,6,10k - 20k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,5k - 10k
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,12,5k - 10k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,12,20k+
UPSC,Administrative Intern,On-site,Assist in district-level administrative documentation.,12,10k - 20k
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,Unpaid
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,3,10k - 20k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,3,Unpaid
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,3,10k - 20k
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,12,5k - 10k
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",12,10k - 20k
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",3,Unpaid
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,3,20k+
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,6,20k+
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,3,5k - 10k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,3,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",6,Unpaid
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,12,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,12,Unpaid
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,6,5k - 10k
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,6,20k+
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,6,Unpaid
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,6,20k+
Computer Science,Data Science Intern,On-site,Analyze large datasets and build predictive models.,6,10k - 20k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,3,20k+
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,20k+
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",12,5k - 10k
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,3,10k - 20k
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,3,20k+
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,10k - 20k
Law,Legal Aid Intern,On-site,Provide legal support for underprivileged communities.,6,5k - 10k
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",3,Unpaid
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,3,20k+
Media,Journalism Intern,On-site,Report local news and assist in editorial tasks.,6,10k - 20k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,3,10k - 20k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,12,5k - 10k
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,12,20k+
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,12,20k+
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,12,20k+
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,3,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,10k - 20k
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,Unpaid
