CGPA,Internships,Projects,Placed
7.85,0,3,0
9.03,2,4,1
5.04,1,4,0
8.01,1,1,1
5.41,3,3,0
6.26,1,5,0
5.08,0,4,0
5.18,0,5,0
7.2,1,5,1
9.24,2,2,1
8.32,1,2,1
7.57,0,2,0
7.42,0,2,0
6.69,0,3,0
6.9,3,1,0
8.07,2,2,1
5.01,3,3,0
7.69,3,3,1
6.71,3,1,0
6.09,1,5,0
9.13,0,3,0
5.13,3,5,0
6.59,0,5,0
8.64,1,5,1
7.72,1,1,1
6.47,2,4,0
8.48,3,4,1
6.11,2,1,0
7.59,0,2,0
9.22,0,4,0
5.08,3,2,0
6.32,2,4,0
5.28,0,4,0
5.25,2,3,0
7.16,3,1,1
6.92,3,2,0
8.96,3,5,1
7.57,2,1,1
8.61,1,3,1
9.07,1,5,1
7.37,2,5,1
5.96,0,3,0
5.03,3,1,0
5.97,3,1,0
6.23,1,2,0
8.09,1,5,1
9.42,2,4,1
7.72,3,3,1
8.77,1,4,1
9.22,1,1,1
5.94,1,1,0
6.07,1,1,0
5.43,3,5,0
6.21,0,3,0
7.96,1,4,1
7.79,2,4,1
7.8,1,1,1
5.31,0,2,0
8.01,0,3,0
7.84,2,2,1
6.54,0,1,0
8.6,3,3,1
6.67,3,1,0
5.23,0,3,0
5.46,2,2,0
6.03,2,4,0
6.83,0,5,0
7.23,2,4,1
7.75,3,2,1
8.92,2,2,1
8.66,1,3,1
7.21,2,3,1
5.03,2,2,0
9.05,3,4,1
7.15,1,1,1
7.05,1,5,1
8.95,3,5,1
8.65,2,1,1
8.45,0,3,0
5.6,0,1,0
8.38,2,4,1
5.71,1,1,0
8.85,3,1,1
8.15,0,1,0
8.65,2,5,1
7.24,1,2,1
6.59,3,4,0
9.23,1,4,1
8.64,1,3,1
5.08,2,5,0
7.28,2,3,1
5.36,0,1,0
5.76,2,3,0
8.03,3,5,1
5.18,3,1,0
6.95,3,5,0
8.93,1,5,1
7.34,0,4,0
9.39,1,3,1
7.1,0,2,0
7.3,3,3,1
9.4,3,4,1
6.27,0,5,0
5.78,3,1,0
8.53,2,3,1
5.54,0,2,0
5.56,0,2,0
5.03,1,1,0
5.15,2,1,0
9.32,2,5,1
5.33,2,1,0
8.3,0,1,0
6.02,0,2,0
8.47,2,5,1
8.05,2,5,1
7.01,3,4,1
6.05,0,4,0
6.0,2,5,0
7.8,1,4,1
5.01,3,4,0
9.25,0,5,0
9.13,2,4,1
9.01,2,1,1
5.31,2,4,0
5.27,0,3,0
9.31,0,2,0
7.56,3,4,1
5.73,0,1,0
5.92,1,1,0
8.24,3,3,1
6.27,2,1,0
8.75,0,1,0
8.8,2,3,1
7.39,0,4,0
7.54,3,5,1
9.45,1,5,1
8.36,0,4,0
9.35,2,2,1
9.21,2,1,1
6.62,3,3,0
7.84,2,3,1
5.25,3,5,0
5.4,3,5,0
7.8,1,5,1
8.41,3,2,1
5.88,3,3,0
7.44,0,2,0
8.35,0,4,0
7.34,3,2,1
8.45,3,4,1
7.48,1,5,1
5.87,0,4,0
8.56,3,2,1
6.87,0,4,0
5.32,1,5,0
5.16,1,5,0
7.14,2,2,1
7.58,3,5,1
8.93,1,3,1
9.39,0,5,0
7.04,2,5,1
6.36,0,5,0
8.16,2,3,1
5.24,2,4,0
7.76,2,5,1
6.18,0,4,0
9.35,1,2,1
5.06,2,3,0
5.27,0,1,0
7.52,0,2,0
8.5,3,4,1
7.51,1,4,1
9.29,2,4,1
5.09,1,4,0
9.26,0,3,0
9.04,1,3,1
7.37,1,4,1
7.09,1,3,1
5.26,1,1,0
8.36,3,1,1
8.28,3,1,1
9.35,2,5,1
8.35,2,2,1
8.79,3,3,1
6.09,3,2,0
9.06,0,1,0
5.44,3,5,0
7.86,1,3,1
8.89,2,1,1
9.08,3,1,1
7.49,3,1,1
5.56,3,5,0
8.34,0,2,0
5.36,3,1,0
8.76,0,3,0
8.33,3,4,1
9.19,3,2,1
