Branch,Subject,Detailed_Note,Educational_Resource_Link
Computer Science,Python,"Python is a versatile, high-level programming language known for its readability. Key topics include Data Structures, Decorators, Generators, and frameworks like Django.",https://www.w3schools.com/python/
Computer Science,Java,"Java is a robust, object-oriented language used for enterprise applications. Essential concepts: JVM, Multi-threading, Spring Boot, and Hibernate.",https://www.javatpoint.com/java-tutorial
Computer Science,AI & ML,"Artificial Intelligence and Machine Learning involve algorithms that learn from data. Key topics: Neural Networks, Linear Regression, and NLP.",https://www.geeksforgeeks.org/machine-learning/
Computer Science,C++,"C++ is a powerful language for system/software development. Focus on STL, Memory Management, Pointers, and OOPs principles.",https://.learncpp.com/
Computer Science,Web Development,"Covers Frontend (HTML, CSS, JS) and Backend (Node.js, Databases). Focus on React, Angular, and RESTful APIs.",https://developer.mozilla.org/en-US/docs/Learn
Information Technology,Cloud Computing,"Delivery of computing services over the internet. Study AWS, Azure, and Google Cloud models (IaaS, PaaS, SaaS).",https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-is-cloud-computing/
Information Technology,Cyber Security,"Protecting systems from digital attacks. Key areas: Ethical Hacking, Cryptography, and Network Security.",https://www.cybrary.it/
Information Technology,Web Development,"Building and maintaining websites. Includes web design, web publishing, and database management.",https://www.freecodecamp.org/
Information Technology,Database Management,"Systems used to store and manage data. SQL (MySQL, PostgreSQL) and NoSQL (MongoDB) are core topics.",https://www.tutorialspoint.com/dbms/index.htm
Information Technology,Software Engineering,"Systematic application of engineering principles to software development. Study Agile, Scrum, and SDLC.",https://www.guru99.com/software-engineering-tutorial.html
Medical,Anatomy,Study of the structure of organisms and their parts.,https://www.innerbody.com/htm/body.html
Medical,Physiology,Study of the functions and mechanisms in a living system.,https://medlineplus.gov/anatomyandphysiology.html
Medical,Pathology,Science of the causes and effects of diseases.,https://www.pathologyoutlines.com/
Medical,Pharmacology,Study of drug action and the interactions between organisms and drugs.,https://www.pharmacologyeducation.org/
Medical,Microbiology,"Study of microscopic organisms, such as bacteria, viruses, and fungi.",https://microbiologysociety.org/why-microbiology-matters/what-is-microbiology.html
Pharmacy,Pharmaceutics,Deals with the process of turning a new chemical entity into a medication.,https://www.pharmacytimes.com/
Pharmacy,Pharmacognosy,Study of medicines derived from natural sources.,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/pharmacognosy
Pharmacy,Medicinal Chemistry,Chemistry-based discipline involving the design and synthesis of drugs.,https://pubs.acs.org/journal/jmcmar
Pharmacy,Biochemistry,Chemical processes within and relating to living organisms.,https://www.biochemistry.org/
Pharmacy,Clinical Pharmacy,Branch where pharmacists provide patient care that optimizes medication use.,https://www.accp.com/
