Branch,Job_Title,Location,Salary_Range,Work_Type
Hotel Management,Executive Chef,Singapore,$110k/year,Full-time
Information Technology,Cybersecurity Analyst,"Delhi NCR, India",₹11 LPA,Hybrid
Information Technology,Network Engineer,"Hyderabad, India",₹30 LPA,Hybrid
Hotel Management,Restaurant Manager,"Bangalore, India",₹15 LPA,Full-time
Civil Engineering,Structural Engineer,"Bangalore, India",₹9 LPA,Contract
Robotics,Computer Vision Engineer,"Bangalore, India",₹31 LPA,Hybrid
Management,Operations Manager,"Hyderabad, India",₹21 LPA,Hybrid
Pharmacy,Medical Representative,Singapore,$116k/year,Hybrid
Education,E-learning Specialist,"Pune, India",₹9 LPA,Full-time
Media,Journalist,Remote,₹19 LPA,Contract
Banking,Investment Banker,"Hyderabad, India",₹17 LPA,Full-time
Environmental Science,Sustainability Manager,"Dubai, UAE",₹30 LPA,Contract
Computer Science,Full Stack Developer,Remote,₹25 LPA,Full-time
Education,Educational Consultant,"New York, USA",$65k/year,Contract
Civil Engineering,Structural Engineer,"Bangalore, India",₹19 LPA,Hybrid
Information Technology,IT Support Specialist,"Bangalore, India",₹11 LPA,Full-time
Media,Video Editor,"Hyderabad, India",₹22 LPA,Full-time
Environmental Science,Ecologist,"Mumbai, India",₹34 LPA,Hybrid
Robotics,Control Systems Engineer,"Bangalore, India",₹16 LPA,Contract
Hotel Management,Hotel Manager,"London, UK",$133k/year,Hybrid
Law,Corporate Lawyer,"Hyderabad, India",₹13 LPA,Hybrid
Agriculture,Food Scientist,"Delhi NCR, India",₹29 LPA,Full-time
Banking,Investment Banker,"Delhi NCR, India",₹16 LPA,Full-time
Robotics,Embedded Systems Developer,"New York, USA",$81k/year,Hybrid
Pharmacy,Pharmacologist,"Pune, India",₹34 LPA,Contract
Management,Project Manager,"New York, USA",$104k/year,Hybrid
Education,School Principal,"Hyderabad, India",₹11 LPA,Hybrid
Robotics,Embedded Systems Developer,"Dubai, UAE",₹23 LPA,Full-time
Banking,Relationship Manager,"Pune, India",₹8 LPA,Full-time
Computer Science,Data Scientist,"Pune, India",₹5 LPA,Hybrid
UPSC,IAS Officer,"Delhi NCR, India",₹6 LPA,Hybrid
Banking,Credit Analyst,"Dubai, UAE",₹28 LPA,Full-time
Law,IPR Lawyer,"Delhi NCR, India",₹5 LPA,Contract
Management,Business Analyst,"Mumbai, India",₹14 LPA,Hybrid
Civil Engineering,Structural Engineer,Singapore,$115k/year,Contract
Management,Marketing Executive,"Dubai, UAE",₹19 LPA,Contract
Robotics,Automation Developer,"New York, USA",$84k/year,Hybrid
Management,Marketing Executive,"Delhi NCR, India",₹14 LPA,Hybrid
Management,Operations Manager,"Hyderabad, India",₹13 LPA,Contract
Medical,Surgeon,"Hyderabad, India",₹27 LPA,Contract
Computer Science,Full Stack Developer,"Dubai, UAE",₹20 LPA,Contract
Management,Project Manager,Singapore,$114k/year,Contract
Information Technology,Cloud Architect,"Pune, India",₹28 LPA,Full-time
Banking,Branch Manager,"Mumbai, India",₹17 LPA,Hybrid
Banking,Credit Analyst,"Delhi NCR, India",₹35 LPA,Hybrid
Robotics,Computer Vision Engineer,"New York, USA",$61k/year,Hybrid
Computer Science,Backend Developer,"Bangalore, India",₹26 LPA,Full-time
Pharmacy,Drug Safety Officer,"Dubai, UAE",₹28 LPA,Hybrid
Computer Science,Data Scientist,Singapore,$97k/year,Full-time
Banking,Relationship Manager,"New York, USA",$90k/year,Full-time
Management,Project Manager,"Hyderabad, India",₹28 LPA,Hybrid
Design,UI/UX Designer,"Bangalore, India",₹21 LPA,Contract
Pharmacy,Medical Representative,"Dubai, UAE",₹22 LPA,Hybrid
Medical,General Practitioner,"London, UK",$130k/year,Hybrid
Environmental Science,Environmental Consultant,"Hyderabad, India",₹27 LPA,Contract
Law,Compliance Officer,"Pune, India",₹5 LPA,Hybrid
Civil Engineering,Quantity Surveyor,"Delhi NCR, India",₹32 LPA,Contract
Information Technology,Cybersecurity Analyst,"Hyderabad, India",₹12 LPA,Contract
Computer Science,AI Engineer,"Bangalore, India",₹10 LPA,Full-time
Pharmacy,Pharmacist,"Hyderabad, India",₹28 LPA,Hybrid
Medical,Surgeon,"London, UK",$108k/year,Hybrid
Robotics,Automation Developer,"Dubai, UAE",₹27 LPA,Full-time
Commerce,Chartered Accountant,"Pune, India",₹5 LPA,Contract
Agriculture,Farm Manager,Singapore,$84k/year,Hybrid
Media,Content Strategist,"Mumbai, India",₹11 LPA,Contract
Information Technology,Network Engineer,"New York, USA",$102k/year,Hybrid
Robotics,Robotics Engineer,"Mumbai, India",₹16 LPA,Hybrid
UPSC,IPS Officer,Singapore,$129k/year,Full-time
Civil Engineering,Construction Manager,"Delhi NCR, India",₹20 LPA,Contract
Law,Compliance Officer,"London, UK",$95k/year,Full-time
Civil Engineering,Urban Planner,"Bangalore, India",₹20 LPA,Contract
Management,Project Manager,Singapore,$68k/year,Full-time
Environmental Science,EHS Officer,"New York, USA",$90k/year,Hybrid
Computer Science,Data Scientist,Remote,₹30 LPA,Contract
Information Technology,Cloud Architect,"London, UK",$142k/year,Hybrid
Commerce,Tax Consultant,"Hyderabad, India",₹35 LPA,Hybrid
Robotics,Automation Developer,Remote,₹14 LPA,Hybrid
Environmental Science,Sustainability Manager,Singapore,$82k/year,Hybrid
Law,IPR Lawyer,"London, UK",$108k/year,Hybrid
Environmental Science,EHS Officer,Remote,₹13 LPA,Full-time
Hotel Management,Front Office Manager,"London, UK",$87k/year,Contract
Pharmacy,Pharmacologist,"Delhi NCR, India",₹25 LPA,Contract
Law,Legal Consultant,"Hyderabad, India",₹13 LPA,Contract
